cluster_id	representative	plddt_mean	length	n_members	mmseqs_rep	selected_by	members
CLS003224	Q54LR0	64.26	607	1	Q54LR0	plddt_then_length	Q54LR0
CLS003225	Q54LR3	70.98	521	1	Q54LR3	plddt_then_length	Q54LR3
CLS003226	Q54LU5	60.32	999	1	Q54LU5	plddt_then_length	Q54LU5
CLS003227	Q54LY5	76.50	796	1	Q54LY5	plddt_then_length	Q54LY5
CLS003228	Q54M18	82.22	847	1	Q54M18	plddt_then_length	Q54M18
CLS003229	Q54M23	55.69	621	1	Q54M23	plddt_then_length	Q54M23
CLS003230	Q54M35	65.25	572	1	Q54M35	plddt_then_length	Q54M35
CLS003231	Q550U9	90.15	574	2	Q54M94	plddt_then_length	Q54M94;Q550U9
CLS003232	Q54MB1	66.34	517	1	Q54MB1	plddt_then_length	Q54MB1
CLS003233	Q54MD1	67.72	641	1	Q54MD1	plddt_then_length	Q54MD1
CLS003234	Q8VY00	76.86	1044	4	Q54MH3	plddt_then_length	Q54F05;Q54MH3;Q8VY00;Q9P774
CLS003235	Q54MH8	76.35	808	1	Q54MH8	plddt_then_length	Q54MH8
CLS003236	Q54MH9	51.80	1401	1	Q54MH9	plddt_then_length	Q54MH9
CLS003237	Q54MJ7	91.43	534	2	Q54MJ7	plddt_then_length	Q54MJ7;Q9LDV4
CLS003238	Q54MK0	62.13	1176	1	Q54MK0	plddt_then_length	Q54MK0
CLS003239	Q54MP8	43.92	2200	1	Q54MP8	plddt_then_length	Q54MP8
CLS003240	Q54MV3	50.16	906	1	Q54MV3	plddt_then_length	Q54MV3
CLS003241	Q54MV6	89.84	761	1	Q54MV6	plddt_then_length	Q54MV6
CLS003242	Q54N86	47.20	1178	1	Q54N86	plddt_then_length	Q54N86
CLS003243	Q54N97	85.51	1104	1	Q54N97	plddt_then_length	Q54N97
CLS003244	Q54NA6	56.98	855	1	Q54NA6	plddt_then_length	Q54NA6
CLS003245	Q54NC6	59.76	2269	1	Q54NC6	plddt_then_length	Q54NC6
CLS003246	Q54NI1	67.32	837	1	Q54NI1	plddt_then_length	Q54NI1
CLS003247	Q54NL0	51.33	1009	1	Q54NL0	plddt_then_length	Q54NL0
CLS003248	Q54NL1	80.82	1345	1	Q54NL1	plddt_then_length	Q54NL1
CLS003249	Q54NP0	55.55	521	1	Q54NP0	plddt_then_length	Q54NP0
CLS003250	Q54NP8	60.98	1922	1	Q54NP8	plddt_then_length	Q54NP8
CLS003251	Q54NQ8	59.27	795	1	Q54NQ8	plddt_then_length	Q54NQ8
CLS003252	Q54NU3	86.13	925	1	Q54NU3	plddt_then_length	Q54NU3
CLS003253	Q54NU8	64.17	1408	1	Q54NU8	plddt_then_length	Q54NU8
CLS003254	Q54NV1	66.55	879	1	Q54NV1	plddt_then_length	Q54NV1
CLS003255	Q54NX0	69.53	833	1	Q54NX0	plddt_then_length	Q54NX0
CLS003256	Q9ZVH4	90.96	732	3	Q54NZ5	plddt_then_length	Q54NZ5;Q6DE95;Q9ZVH4
CLS003257	Q54P47	49.27	1335	1	Q54P47	plddt_then_length	Q54P47
CLS003258	Q54P51	91.09	539	1	Q54P51	plddt_then_length	Q54P51
CLS003259	Q54P65	68.70	757	1	Q54P65	plddt_then_length	Q54P65
CLS003260	Q54P68	88.92	594	1	Q54P68	plddt_then_length	Q54P68
CLS003261	Q54I92	85.37	719	2	Q54P69	plddt_then_length	Q54I92;Q54P69
CLS003262	Q54P70	70.83	766	1	Q54P70	plddt_then_length	Q54P70
CLS003263	Q54P76	54.21	1182	1	Q54P76	plddt_then_length	Q54P76
CLS003264	Q54PA5	88.80	580	1	Q54PA5	plddt_then_length	Q54PA5
CLS003265	Q54PD9	59.29	554	1	Q54PD9	plddt_then_length	Q54PD9
CLS003266	Q9C270	90.10	899	3	Q54PE0	plddt_then_length	Q54PE0;Q5RFQ3;Q9C270
CLS003267	Q54PF8	87.82	619	1	Q54PF8	plddt_then_length	Q54PF8
CLS003268	Q54PK8	43.68	1212	1	Q54PK8	plddt_then_length	Q54PK8
CLS003269	Q54PL2	67.90	1024	1	Q54PL2	plddt_then_length	Q54PL2
CLS003270	Q54PM6	52.04	1224	1	Q54PM6	plddt_then_length	Q54PM6
CLS003271	Q54PP6	63.79	572	1	Q54PP6	plddt_then_length	Q54PP6
CLS003272	Q54PP7	75.46	1154	1	Q54PP7	plddt_then_length	Q54PP7
CLS003273	Q54PQ8	86.20	1135	1	Q54PQ8	plddt_then_length	Q54PQ8
CLS003274	Q54PS7	92.04	569	1	Q54PS7	plddt_then_length	Q54PS7
CLS003275	Q54PT1	75.26	568	1	Q54PT1	plddt_then_length	Q54PT1
CLS003276	Q54PT3	66.61	657	1	Q54PT3	plddt_then_length	Q54PT3
CLS003277	Q54PZ6	73.96	702	1	Q54PZ6	plddt_then_length	Q54PZ6
CLS003278	Q54Q40	71.28	715	1	Q54Q40	plddt_then_length	Q54Q40
CLS003279	Q54Q45	58.56	726	1	Q54Q45	plddt_then_length	Q54Q45
CLS003280	Q54Q48	55.62	633	1	Q54Q48	plddt_then_length	Q54Q48
CLS003281	Q554S4	91.66	530	2	Q54Q53	plddt_then_length	Q54Q53;Q554S4
CLS003282	Q54Q80	57.64	1280	1	Q54Q80	plddt_then_length	Q54Q80
CLS003283	Q6CGD1	77.20	740	9	Q54Q94	plddt_then_length	Q1EB31;Q2UHB7;Q54Q94;Q5BFU1;Q5ZJF6;Q6CGD1;Q7RZ35;Q80Y44;Q9UTP9
CLS003284	Q54QA0	62.59	1022	1	Q54QA0	plddt_then_length	Q54QA0
CLS003285	Q54QC0	40.30	2381	1	Q54QC0	plddt_then_length	Q54QC0
CLS003286	Q54QC1	86.91	638	1	Q54QC1	plddt_then_length	Q54QC1
CLS003287	Q54QC8	88.12	598	1	Q54QC8	plddt_then_length	Q54QC8
CLS003288	Q54QD3	81.35	2499	1	Q54QD3	plddt_then_length	Q54QD3
CLS003289	Q54QE8	78.11	667	1	Q54QE8	plddt_then_length	Q54QE8
CLS003290	Q54QG0	80.51	769	1	Q54QG0	plddt_then_length	Q54QG0
CLS003291	Q54QG6	90.11	518	2	Q54QG6	plddt_then_length	Q54QG6;Q9FF17
CLS003292	Q54QG7	58.11	891	1	Q54QG7	plddt_then_length	Q54QG7
CLS003293	Q54QI2	53.63	941	1	Q54QI2	plddt_then_length	Q54QI2
CLS003294	Q54QM4	70.59	1175	1	Q54QM4	plddt_then_length	Q54QM4
CLS003295	Q54QM6	44.69	1053	1	Q54QM6	plddt_then_length	Q54QM6
CLS003296	Q54QQ2	57.45	853	1	Q54QQ2	plddt_then_length	Q54QQ2
CLS003297	Q54QR1	46.05	1183	1	Q54QR1	plddt_then_length	Q54QR1
CLS003298	Q54QS0	78.18	799	1	Q54QS0	plddt_then_length	Q54QS0
CLS003299	Q54QW1	87.59	670	1	Q54QW1	plddt_then_length	Q54QW1
CLS003300	Q54QY9	66.68	882	1	Q54QY9	plddt_then_length	Q54QY9
CLS003301	Q54QZ5	91.80	594	1	Q54QZ5	plddt_then_length	Q54QZ5
CLS003302	Q54R58	62.22	918	1	Q54R58	plddt_then_length	Q54R58
CLS003303	Q54R73	46.17	1247	1	Q54R73	plddt_then_length	Q54R73
CLS003304	Q54R74	84.34	1135	1	Q54R74	plddt_then_length	Q54R74
CLS003305	Q54R82	73.96	942	1	Q54R82	plddt_then_length	Q54R82
CLS003306	Q54R84	75.70	838	1	Q54R84	plddt_then_length	Q54R84
CLS003307	Q54R98	70.77	663	1	Q54R98	plddt_then_length	Q54R98
CLS003308	Q54RA2	96.11	558	1	Q54RA2	plddt_then_length	Q54RA2
CLS003309	Q54RB9	68.13	772	1	Q54RB9	plddt_then_length	Q54RB9
CLS003310	Q54RC3	74.26	893	1	Q54RC3	plddt_then_length	Q54RC3
CLS003311	Q54RE1	81.46	852	1	Q54RE1	plddt_then_length	Q54RE1
CLS003312	Q54RI9	82.39	1088	1	Q54RI9	plddt_then_length	Q54RI9
CLS003313	Q54RM2	66.53	631	1	Q54RM2	plddt_then_length	Q54RM2
CLS003314	Q54RP0	73.48	648	1	Q54RP0	plddt_then_length	Q54RP0
CLS003315	Q54RP7	59.33	637	1	Q54RP7	plddt_then_length	Q54RP7
CLS003316	Q54RQ8	61.45	2192	1	Q54RQ8	plddt_then_length	Q54RQ8
CLS003317	Q54RR9	42.12	1761	1	Q54RR9	plddt_then_length	Q54RR9
CLS003318	Q54RS7	69.68	618	1	Q54RS7	plddt_then_length	Q54RS7
CLS003319	Q54RU1	84.31	678	1	Q54RU1	plddt_then_length	Q54RU1
CLS003320	Q54RV3	48.01	1179	1	Q54RV3	plddt_then_length	Q54RV3
CLS003321	Q54RV9	92.49	528	1	Q54RV9	plddt_then_length	Q54RV9
CLS003322	Q54S08	77.54	623	1	Q54S08	plddt_then_length	Q54S08
CLS003323	Q54S20	42.88	2678	1	Q54S20	plddt_then_length	Q54S20
CLS003324	Q54S40	61.11	1312	1	Q54S40	plddt_then_length	Q54S40
CLS003325	Q54S43	79.69	1072	1	Q54S43	plddt_then_length	Q54S43
CLS003326	Q54S77	58.27	1966	1	Q54S77	plddt_then_length	Q54S77
CLS003327	Q54S79	81.42	942	1	Q54S79	plddt_then_length	Q54S79
CLS003328	Q54SC4	73.11	639	1	Q54SC4	plddt_then_length	Q54SC4
CLS003329	Q75JP4	80.18	772	2	Q54SH8	plddt_then_length	Q54SH8;Q75JP4
CLS003330	Q54SI1	72.73	724	1	Q54SI1	plddt_then_length	Q54SI1
CLS003331	Q54SK3	58.28	528	1	Q54SK3	plddt_then_length	Q54SK3
CLS003332	Q54SK5	41.97	2388	1	Q54SK5	plddt_then_length	Q54SK5
CLS003333	Q54SL6	63.14	531	1	Q54SL6	plddt_then_length	Q54SL6
CLS003334	Q54SP4	59.12	1546	1	Q54SP4	plddt_then_length	Q54SP4
CLS003335	Q54SV3	91.77	649	1	Q54SV3	plddt_then_length	Q54SV3
CLS003336	Q54SW3	77.06	770	1	Q54SW3	plddt_then_length	Q54SW3
CLS003337	Q54SY5	52.35	765	1	Q54SY5	plddt_then_length	Q54SY5
CLS003338	Q54T02	68.29	1159	1	Q54T02	plddt_then_length	Q54T02
CLS003339	Q54T16	69.79	650	2	Q54T17	plddt_then_length	Q54T16;Q54T17
CLS003340	Q54T18	67.85	611	1	Q54T18	plddt_then_length	Q54T18
CLS003341	Q54T74	40.67	1378	1	Q54T74	plddt_then_length	Q54T74
CLS003342	Q54T86	68.60	568	1	Q54T86	plddt_then_length	Q54T86
CLS003343	Q54TA5	55.16	1016	1	Q54TA5	plddt_then_length	Q54TA5
CLS003344	Q54TB8	74.58	877	1	Q54TB8	plddt_then_length	Q54TB8
CLS003345	Q54TC3	70.48	585	1	Q54TC3	plddt_then_length	Q54TC3
CLS003346	Q54TH6	63.88	597	1	Q54TH6	plddt_then_length	Q54TH6
CLS003347	Q54TH9	65.98	721	1	Q54TH9	plddt_then_length	Q54TH9
CLS003348	Q54TI3	47.53	831	1	Q54TI3	plddt_then_length	Q54TI3
CLS003349	Q54TK4	64.90	1619	1	Q54TK4	plddt_then_length	Q54TK4
CLS003350	Q54TM7	58.46	1288	1	Q54TM7	plddt_then_length	Q54TM7
CLS003351	Q54TP6	77.88	804	1	Q54TP6	plddt_then_length	Q54TP6
CLS003352	Q54TR1	85.40	531	1	Q54TR1	plddt_then_length	Q54TR1
CLS003353	Q54TT4	66.26	925	1	Q54TT4	plddt_then_length	Q54TT4
CLS003354	Q54TT6	86.31	981	1	Q54TT6	plddt_then_length	Q54TT6
CLS003355	Q54TU3	46.34	554	1	Q54TU3	plddt_then_length	Q54TU3
CLS003356	Q54TV2	76.89	1509	1	Q54TV2	plddt_then_length	Q54TV2
CLS003357	Q54TW2	67.15	686	1	Q54TW2	plddt_then_length	Q54TW2
CLS003358	Q54U63	67.92	2491	1	Q54U63	plddt_then_length	Q54U63
CLS003359	Q54U64	56.23	1529	1	Q54U64	plddt_then_length	Q54U64
CLS003360	Q54U89	83.25	708	1	Q54U89	plddt_then_length	Q54U89
CLS003361	Q54UC2	73.01	904	1	Q54UC2	plddt_then_length	Q54UC2
CLS003362	Q54UC9	65.12	1193	1	Q54UC9	plddt_then_length	Q54UC9
CLS003363	Q54UK3	55.16	880	1	Q54UK3	plddt_then_length	Q54UK3
CLS003364	Q54UL8	60.69	983	1	Q54UL8	plddt_then_length	Q54UL8
CLS003365	Q54UP5	88.04	1133	1	Q54UP5	plddt_then_length	Q54UP5
CLS003366	Q54UV8	75.07	983	4	Q54UW0	plddt_then_length	Q54UV7;Q54UV8;Q54UV9;Q54UW0
CLS003367	Q54UW4	43.45	1823	1	Q54UW4	plddt_then_length	Q54UW4
CLS003368	Q54V07	76.09	902	2	Q54V07	plddt_then_length	Q54L75;Q54V07
CLS003369	Q54V85	50.03	1469	1	Q54V85	plddt_then_length	Q54V85
CLS003370	Q54VA9	72.61	715	1	Q54VA9	plddt_then_length	Q54VA9
CLS003371	Q54VB4	52.79	639	1	Q54VB4	plddt_then_length	Q54VB4
CLS003372	Q54VC1	75.77	1436	1	Q54VC1	plddt_then_length	Q54VC1
CLS003373	Q54VE0	60.85	1080	1	Q54VE0	plddt_then_length	Q54VE0
CLS003374	Q54VF1	69.04	685	1	Q54VF1	plddt_then_length	Q54VF1
CLS003375	Q54VF4	61.14	1304	1	Q54VF4	plddt_then_length	Q54VF4
CLS003376	Q54VI3	87.67	1042	1	Q54VI3	plddt_then_length	Q54VI3
CLS003377	Q54VJ1	85.31	548	1	Q54VJ1	plddt_then_length	Q54VJ1
CLS003378	Q54VM3	53.59	1173	1	Q54VM3	plddt_then_length	Q54VM3
CLS003379	Q54VQ0	60.37	835	1	Q54VQ0	plddt_then_length	Q54VQ0
CLS003380	Q54VU4	57.36	1505	1	Q54VU4	plddt_then_length	Q54VU4
CLS003381	Q54VU5	61.01	1192	1	Q54VU5	plddt_then_length	Q54VU5
CLS003382	Q54VV5	62.66	1017	1	Q54VV5	plddt_then_length	Q54VV5
CLS003383	Q54VV7	62.80	1126	1	Q54VV7	plddt_then_length	Q54VV7
CLS003384	Q54VY0	58.05	818	1	Q54VY0	plddt_then_length	Q54VY0
CLS003385	Q54VY3	58.76	1402	1	Q54VY3	plddt_then_length	Q54VY3
CLS003386	Q54W06	56.41	723	1	Q54W06	plddt_then_length	Q54W06
CLS003387	Q54W19	75.00	734	2	Q54W19	plddt_then_length	Q54W19;Q54W20
CLS003388	Q54W24	76.20	767	1	Q54W24	plddt_then_length	Q54W24
CLS003389	Q54W36	43.63	1378	1	Q54W36	plddt_then_length	Q54W36
CLS003390	Q54W86	52.55	928	1	Q54W86	plddt_then_length	Q54W86
CLS003391	Q54W90	77.22	894	1	Q54W90	plddt_then_length	Q54W90
CLS003392	Q54WB8	53.93	815	1	Q54WB8	plddt_then_length	Q54WB8
CLS003393	Q54WH2	77.14	1218	1	Q54WH2	plddt_then_length	Q54WH2
CLS003394	Q54WH4	63.26	856	1	Q54WH4	plddt_then_length	Q54WH4
CLS003395	Q54WH7	52.96	759	1	Q54WH7	plddt_then_length	Q54WH7
CLS003396	Q54WJ0	62.20	586	1	Q54WJ0	plddt_then_length	Q54WJ0
CLS003397	Q54WN0	74.25	1143	1	Q54WN0	plddt_then_length	Q54WN0
CLS003398	Q54WN8	59.29	1233	1	Q54WN8	plddt_then_length	Q54WN8
CLS003399	Q54WR1	68.92	757	1	Q54WR1	plddt_then_length	Q54WR1
CLS003400	Q54WR4	72.33	1216	1	Q54WR4	plddt_then_length	Q54WR4
CLS003401	Q54WR9	92.05	735	1	Q54WR9	plddt_then_length	Q54WR9
CLS003402	Q54WS5	55.93	2147	1	Q54WS5	plddt_then_length	Q54WS5
CLS003403	Q54WT9	78.96	1119	1	Q54WT9	plddt_then_length	Q54WT9
CLS003404	Q54WV4	59.34	556	1	Q54WV4	plddt_then_length	Q54WV4
CLS003405	Q54WW7	58.98	695	1	Q54WW7	plddt_then_length	Q54WW7
CLS003406	Q54WZ0	71.71	800	1	Q54WZ0	plddt_then_length	Q54WZ0
CLS003407	Q54WZ5	74.02	574	1	Q54WZ5	plddt_then_length	Q54WZ5
CLS003408	Q54X08	56.06	803	1	Q54X08	plddt_then_length	Q54X08
CLS003409	Q54X15	51.12	1489	1	Q54X15	plddt_then_length	Q54X15
CLS003410	Q54X24	80.84	512	1	Q54X24	plddt_then_length	Q54X24
CLS003411	Q54X25	59.91	1563	1	Q54X25	plddt_then_length	Q54X25
CLS003412	Q54X75	67.25	1284	1	Q54X75	plddt_then_length	Q54X75
CLS003413	Q54X82	81.27	942	1	Q54X82	plddt_then_length	Q54X82
CLS003414	Q54XF7	88.26	750	1	Q54XF7	plddt_then_length	Q54XF7
CLS003415	Q54XG7	61.31	1230	1	Q54XG7	plddt_then_length	Q54XG7
CLS003416	Q54XI9	60.09	1936	1	Q54XI9	plddt_then_length	Q54XI9
CLS003417	Q54XJ4	61.10	1495	1	Q54XJ4	plddt_then_length	Q54XJ4
CLS003418	Q54XL6	64.11	574	1	Q54XL6	plddt_then_length	Q54XL6
CLS003419	Q54XM6	90.49	606	1	Q54XM6	plddt_then_length	Q54XM6
CLS003420	Q54XN7	64.75	1816	1	Q54XN7	plddt_then_length	Q54XN7
CLS003421	Q54XP3	78.92	545	1	Q54XP3	plddt_then_length	Q54XP3
CLS003422	Q54XQ2	48.02	1125	1	Q54XQ2	plddt_then_length	Q54XQ2
CLS003423	Q54XS2	95.43	771	5	Q54XS2	plddt_then_length	Q4WLN1;Q54XS2;Q5B6D6;Q99798;Q9P7D4
CLS003424	Q54XY4	62.65	1582	1	Q54XY4	plddt_then_length	Q54XY4
CLS003425	Q54XY6	62.47	908	1	Q54XY6	plddt_then_length	Q54XY6
CLS003426	Q54XZ5	58.61	1248	1	Q54XZ5	plddt_then_length	Q54XZ5
CLS003427	Q54Y08	66.65	877	1	Q54Y08	plddt_then_length	Q54Y08
CLS003428	Q54Y26	73.66	530	2	Q54Y26	plddt_then_length	Q54Y26;Q6CFS5
CLS003429	Q54Y32	61.66	856	1	Q54Y32	plddt_then_length	Q54Y32
CLS003430	Q54Y73	57.86	834	1	Q54Y73	plddt_then_length	Q54Y73
CLS003431	Q54Y85	77.06	676	1	Q54Y85	plddt_then_length	Q54Y85
CLS003432	Q54Y96	78.67	530	1	Q54Y96	plddt_then_length	Q54Y96
CLS003433	Q93VT8	95.23	608	4	Q54YA0	plddt_then_length	Q54YA0;Q93VT8;Q9FGX1;Q9P7W3
CLS003434	Q54YC4	79.37	1222	1	Q54YC4	plddt_then_length	Q54YC4
CLS003435	Q54YF2	60.87	727	1	Q54YF2	plddt_then_length	Q54YF2
CLS003436	Q54YF7	90.90	1035	1	Q54YF7	plddt_then_length	Q54YF7
CLS003437	Q54YG2	66.72	1710	1	Q54YG2	plddt_then_length	Q54YG2
CLS003438	Q54YU6	53.74	876	1	Q54YU6	plddt_then_length	Q54YU6
CLS003439	Q54YV4	74.52	956	1	Q54YV4	plddt_then_length	Q54YV4
CLS003440	Q54YW1	63.92	977	1	Q54YW1	plddt_then_length	Q54YW1
CLS003441	Q54YY1	70.50	773	1	Q54YY1	plddt_then_length	Q54YY1
CLS003442	Q54YZ5	55.88	1433	1	Q54YZ5	plddt_then_length	Q54YZ5
CLS003443	Q54Z20	82.62	655	1	Q54Z20	plddt_then_length	Q54Z20
CLS003444	Q54Z23	62.46	1107	1	Q54Z23	plddt_then_length	Q54Z23
CLS003445	Q54Z54	72.38	517	2	Q54Z54	plddt_then_length	Q54Z54;V6F5E5
CLS003446	Q89WV5	93.12	648	11	Q54Z60	plddt_then_length	Q27549;Q3IFM6;Q54Z60;Q57B76;Q6FYL4;Q6G1W0;Q6MNF1;Q89WV5;Q8YJ48;Q9KWA3;Q9PB89
CLS003447	Q54ZI9	61.39	849	1	Q54ZI9	plddt_then_length	Q54ZI9
CLS003448	Q54ZN3	54.06	998	1	Q54ZN3	plddt_then_length	Q54ZN3
CLS003449	Q54ZR7	73.86	615	1	Q54ZR7	plddt_then_length	Q54ZR7
CLS003450	Q54ZY3	84.36	583	1	Q54ZY3	plddt_then_length	Q54ZY3
CLS003451	Q55002	81.68	663	1	Q55002	plddt_then_length	Q55002
CLS003452	Q8DIA7	94.20	761	5	Q55041	plddt_then_length	Q55041;Q7UA92;Q7V9E5;Q8DIA7;Q8YR06
CLS003453	Q55074	92.50	513	1	Q55074	plddt_then_length	Q55074
CLS003454	Q550C1	62.10	828	1	Q550C1	plddt_then_length	Q550C1
CLS003455	Q550K8	51.49	2454	1	Q550K8	plddt_then_length	Q550K8
CLS003456	Q55168	89.47	748	1	Q55168	plddt_then_length	Q55168
CLS003457	Q551B5	69.21	1119	1	Q551B5	plddt_then_length	Q551B5
CLS003458	Q551H0	55.82	920	1	Q551H0	plddt_then_length	Q551H0
CLS003459	Q55242	68.31	969	1	Q55242	plddt_then_length	Q55242
CLS003460	Q55286	89.21	538	1	Q55286	plddt_then_length	Q55286
CLS003461	Q55293	77.39	566	1	Q55293	plddt_then_length	Q55293
CLS003462	Q552C1	41.69	1555	1	Q552C1	plddt_then_length	Q552C1
CLS003463	Q552D9	75.82	1437	1	Q552D9	plddt_then_length	Q552D9
CLS003464	Q552E2	45.66	1479	1	Q552E2	plddt_then_length	Q552E2
CLS003465	Q552P3	75.17	834	1	Q552P3	plddt_then_length	Q552P3
CLS003466	Q552Q3	62.97	991	1	Q552Q3	plddt_then_length	Q552Q3
CLS003467	Q552Q7	75.20	1450	1	Q552Q7	plddt_then_length	Q552Q7
CLS003468	Q55346	90.28	634	4	Q55346	plddt_then_length	Q318Q8;Q3AZA3;Q46J23;Q55346
CLS003469	Q55393	93.30	573	1	Q55393	plddt_then_length	Q55393
CLS003470	Q553E9	56.51	2344	1	Q553E9	plddt_then_length	Q553E9
CLS003471	Q553K4	75.38	629	1	Q553K4	plddt_then_length	Q553K4
CLS003472	Q553U5	89.64	543	1	Q553U5	plddt_then_length	Q553U5
CLS003473	Q55418	86.64	872	1	Q55418	plddt_then_length	Q55418
CLS003474	Q55434	78.83	1276	1	Q55434	plddt_then_length	Q55434
CLS003475	Q55445	71.46	1000	1	Q55445	plddt_then_length	Q55445
CLS003476	Q55486	92.59	584	1	Q55486	plddt_then_length	Q55486
CLS003477	Q554C9	65.82	568	1	Q554C9	plddt_then_length	Q554C9
CLS003478	Q554E2	81.73	625	1	Q554E2	plddt_then_length	Q554E2
CLS003479	Q554L2	63.46	831	1	Q554L2	plddt_then_length	Q554L2
CLS003480	Q554L3	55.92	626	1	Q554L3	plddt_then_length	Q554L3
CLS003481	Q554P0	57.56	787	1	Q554P0	plddt_then_length	Q554P0
CLS003482	Q554U9	84.25	527	1	Q554U9	plddt_then_length	Q554U9
CLS003483	Q55563	70.07	1693	1	Q55563	plddt_then_length	Q55563
CLS003484	Q555D2	40.12	1839	1	Q555D2	plddt_then_length	Q555D2
CLS003485	Q555H8	66.51	1864	1	Q555H8	plddt_then_length	Q555H8
CLS003486	Q555L9	56.15	627	1	Q555L9	plddt_then_length	Q555L9
CLS003487	Q555V7	72.09	938	1	Q555V7	plddt_then_length	Q555V7
CLS003488	Q555Z5	80.36	1615	1	Q555Z5	plddt_then_length	Q555Z5
CLS003489	Q55638	92.75	767	1	Q55638	plddt_then_length	Q55638
CLS003490	Q55681	79.31	831	1	Q55681	plddt_then_length	Q55681
CLS003491	Q556C6	87.73	621	1	Q556C6	plddt_then_length	Q556C6
CLS003492	Q556H2	68.39	520	1	Q556H2	plddt_then_length	Q556H2
CLS003493	Q556J4	87.70	607	1	Q556J4	plddt_then_length	Q556J4
CLS003494	Q556J6	72.63	680	1	Q556J6	plddt_then_length	Q556J6
CLS003495	Q556N7	87.08	623	1	Q556N7	plddt_then_length	Q556N7
CLS003496	Q556U6	81.93	926	1	Q556U6	plddt_then_length	Q556U6
CLS003497	Q556V9	95.08	529	1	Q556V9	plddt_then_length	Q556V9
CLS003498	Q55750	78.01	1199	1	Q55750	plddt_then_length	Q55750
CLS003499	Q557C9	45.99	1723	1	Q557C9	plddt_then_length	Q557C9
CLS003500	Q557E9	82.73	706	2	Q557E9	plddt_then_length	Q54DV5;Q557E9
CLS003501	Q557F4	86.36	550	1	Q557F4	plddt_then_length	Q557F4
CLS003502	Q557H1	95.05	691	1	Q557H1	plddt_then_length	Q557H1
CLS003503	Q557H3	80.40	987	1	Q557H3	plddt_then_length	Q557H3
CLS003504	Q55884	81.38	567	1	Q55884	plddt_then_length	Q55884
CLS003505	Q55898	90.77	728	1	Q55898	plddt_then_length	Q55898
CLS003506	Q558U1	51.46	2258	1	Q558U1	plddt_then_length	Q558U1
CLS003507	Q558Z2	55.57	905	1	Q558Z2	plddt_then_length	Q558Z2
CLS003508	Q559A0	52.95	1164	1	Q559A0	plddt_then_length	Q559A0
CLS003509	Q559G8	76.55	1007	1	Q559G8	plddt_then_length	Q559G8
CLS003510	Q559K0	77.78	566	1	Q559K0	plddt_then_length	Q559K0
CLS003511	Q75JQ1	90.34	576	2	Q559M9	plddt_then_length	Q559M9;Q75JQ1
CLS003512	Q559R1	66.79	1521	1	Q559R1	plddt_then_length	Q559R1
CLS003513	Q559T8	46.72	2102	1	Q559T8	plddt_then_length	Q559T8
CLS003514	Q55AN8	61.68	1167	1	Q55AN8	plddt_then_length	Q55AN8
CLS003515	Q55AP1	79.13	798	2	Q55AP1	plddt_then_length	Q55AP1;Q55AP3
CLS003516	Q55B97	71.19	1201	1	Q55B97	plddt_then_length	Q55B97
CLS003517	Q55B99	64.01	1193	1	Q55B99	plddt_then_length	Q55B99
CLS003518	Q55BA0	52.03	765	1	Q55BA0	plddt_then_length	Q55BA0
CLS003519	Q55BM1	54.97	1360	1	Q55BM1	plddt_then_length	Q55BM1
CLS003520	Q94757	89.23	545	4	Q55BM4	plddt_then_length	Q32L40;Q55BM4;Q94757;Q9XT06
CLS003521	Q55BN0	64.60	1662	1	Q55BN0	plddt_then_length	Q55BN0
CLS003522	Q55BR9	79.22	508	1	Q55BR9	plddt_then_length	Q55BR9
CLS003523	Q55BV7	67.17	668	1	Q55BV7	plddt_then_length	Q55BV7
CLS003524	Q55C09	83.48	583	1	Q55C09	plddt_then_length	Q55C09
CLS003525	Q55C52	79.73	512	1	Q55C52	plddt_then_length	Q55C52
CLS003526	Q55C91	93.52	510	1	Q55C91	plddt_then_length	Q55C91
CLS003527	Q55CA6	68.32	635	1	Q55CA6	plddt_then_length	Q55CA6
CLS003528	Q55CB6	63.21	1362	1	Q55CB6	plddt_then_length	Q55CB6
CLS003529	Q55CC5	46.06	1368	1	Q55CC5	plddt_then_length	Q55CC5
CLS003530	Q55CH0	85.81	654	1	Q55CH0	plddt_then_length	Q55CH0
CLS003531	Q55CL6	59.20	660	1	Q55CL6	plddt_then_length	Q55CL6
CLS003532	Q55CN0	81.39	525	1	Q55CN0	plddt_then_length	Q55CN0
CLS003533	Q55CS7	61.87	834	1	Q55CS7	plddt_then_length	Q55CS7
CLS003534	Q55CT0	84.60	600	1	Q55CT0	plddt_then_length	Q55CT0
CLS003535	Q55CT1	89.27	667	1	Q55CT1	plddt_then_length	Q55CT1
CLS003536	Q55CT5	64.89	1355	1	Q55CT5	plddt_then_length	Q55CT5
CLS003537	Q55CW1	72.77	553	1	Q55CW1	plddt_then_length	Q55CW1
CLS003538	Q55CW2	52.54	875	1	Q55CW2	plddt_then_length	Q55CW2
CLS003539	Q55CW3	56.03	640	1	Q55CW3	plddt_then_length	Q55CW3
CLS003540	Q55CY2	86.17	611	1	Q55CY2	plddt_then_length	Q55CY2
CLS003541	Q55CY9	60.11	1326	1	Q55CY9	plddt_then_length	Q55CY9
CLS003542	Q55D99	54.46	1197	1	Q55D99	plddt_then_length	Q55D99
