uniprot	cluster_id	representative
Q7MQ31	CLS002338	Q5PKP2
Q7MZ83	CLS002338	Q5PKP2
Q7VN62	CLS002338	Q5PKP2
Q87TH2	CLS002338	Q5PKP2
Q8ZAM1	CLS002338	Q5PKP2
Q9CKD4	CLS002338	Q5PKP2
Q9HUB8	CLS002338	Q5PKP2
Q9KVQ4	CLS002338	Q5PKP2
Q1RBG7	CLS002339	Q1RBG7
Q3Z1Y4	CLS002339	Q1RBG7
Q57PI0	CLS002339	Q1RBG7
Q5PIB9	CLS002339	Q1RBG7
Q6D4W2	CLS002339	Q1RBG7
Q8ZPM2	CLS002339	Q1RBG7
Q3Z770	CLS002340	Q3Z770
Q3Z7P5	CLS002341	Q3Z7P5
Q18BH4	CLS002342	Q18BH4
Q3Z7U3	CLS002342	Q18BH4
Q3Z7V6	CLS002343	Q3Z7V6
Q3Z886	CLS002344	Q9Y933
Q9Y933	CLS002344	Q9Y933
Q3Z888	CLS002345	Q3Z888
Q3ZAV0	CLS002346	Q3ZAV0
Q3ZAV8	CLS002347	Q3ZAV8
Q3ZB90	CLS002348	Q3ZB90
O75363	CLS002349	Q3ZB98
Q3ZB98	CLS002349	Q3ZB98
Q80YN3	CLS002349	Q3ZB98
Q3ZBK7	CLS002350	Q5RAS2
Q5RAS2	CLS002350	Q5RAS2
Q3ZCK1	CLS002351	Q9Y262
Q6P878	CLS002351	Q9Y262
Q7T2A5	CLS002351	Q9Y262
Q9Y262	CLS002351	Q9Y262
Q3ZCX4	CLS002352	Q80W31
Q80W31	CLS002352	Q80W31
Q9P0L1	CLS002352	Q80W31
Q3ZD69	CLS002353	Q3ZD69
Q3ZJ04	CLS002354	Q3ZJ04
Q3ZJ93	CLS002355	Q3ZJ93
Q3ZMH1	CLS002356	Q3ZMH1
Q3ZWC3	CLS002357	Q3ZWC3
Q5FLW6	CLS002357	Q3ZWC3
Q3Z8W1	CLS002358	Q3Z8W1
Q3ZX08	CLS002358	Q3Z8W1
Q5FUI5	CLS002358	Q3Z8W1
Q3Z8G2	CLS002359	Q3ZXB5
Q3ZXB5	CLS002359	Q3ZXB5
Q3ZYF0	CLS002360	Q3ZYF0
Q3ZZD2	CLS002361	Q3ZZD2
Q3Z9C5	CLS002362	Q3ZZG9
Q3ZZG9	CLS002362	Q3ZZG9
Q40152	CLS002363	Q40152
Q40253	CLS002364	Q40253
Q402B2	CLS002365	Q402B2
Q40392	CLS002366	Q40392
Q40406	CLS002367	Q40406
Q40541	CLS002368	Q40541
Q40546	CLS002369	Q40546
Q9FLW9	CLS002369	Q40546
Q40554	CLS002370	Q40554
Q9LD55	CLS002370	Q40554
Q40588	CLS002371	Q40588
Q40762	CLS002372	Q40762
Q40902	CLS002373	Q40902
Q40910	CLS002374	Q40910
Q40983	CLS002375	Q40983
Q41060	CLS002376	Q41060
Q41219	CLS002377	Q9SPB1
Q9SPB1	CLS002377	Q9SPB1
Q41382	CLS002378	Q41382
Q650T9	CLS002378	Q41382
Q41594	CLS002379	Q41594
Q3E9C0	CLS002380	Q3E9C0
Q42479	CLS002380	Q3E9C0
Q42534	CLS002381	Q43143
Q43143	CLS002381	Q43143
Q42556	CLS002382	Q9M2A0
Q9LY32	CLS002382	Q9M2A0
Q9M2A0	CLS002382	Q9M2A0
Q9SH76	CLS002382	Q9M2A0
Q9T0E0	CLS002382	Q9M2A0
Q42598	CLS002383	Q42598
Q42600	CLS002384	Q42600
Q1AVY9	CLS002385	Q8Z9L7
Q1IPK2	CLS002385	Q8Z9L7
Q2FLD9	CLS002385	Q8Z9L7
Q42601	CLS002385	Q8Z9L7
Q8F832	CLS002385	Q8Z9L7
Q8XHB3	CLS002385	Q8Z9L7
Q8XZ83	CLS002385	Q8Z9L7
Q8Z9L7	CLS002385	Q8Z9L7
Q8ZIL4	CLS002385	Q8Z9L7
Q9RLS9	CLS002385	Q8Z9L7
Q9RWK0	CLS002385	Q8Z9L7
Q9WZ27	CLS002385	Q8Z9L7
Q9ZB63	CLS002385	Q8Z9L7
Q42669	CLS002386	Q42669
Q42676	CLS002387	Q42676
Q42707	CLS002388	Q7XKV4
Q7F9K4	CLS002388	Q7XKV4
Q7XKV4	CLS002388	Q7XKV4
Q7XKV5	CLS002388	Q7XKV4
Q9M1D0	CLS002388	Q7XKV4
Q2QMG2	CLS002389	Q42777
Q42523	CLS002389	Q42777
Q42777	CLS002389	Q42777
Q42798	CLS002390	Q42798
Q42843	CLS002391	Q42843
Q42883	CLS002392	Q42883
Q42908	CLS002393	Q42908
Q42919	CLS002394	Q42919
Q43727	CLS002394	Q42919
Q43793	CLS002394	Q42919
Q93ZW0	CLS002394	Q42919
Q43077	CLS002395	Q43077
Q43078	CLS002396	Q43078
Q43111	CLS002397	Q43111
Q40545	CLS002398	Q43117
Q43117	CLS002398	Q43117
Q9LIK0	CLS002398	Q43117
Q43250	CLS002399	Q43250
Q43255	CLS002399	Q43250
Q43257	CLS002400	Q43257
Q43644	CLS002401	Q43644
Q9FGI6	CLS002401	Q43644
Q43763	CLS002402	Q43763
Q43794	CLS002403	Q43794
Q43908	CLS002404	Q43908
Q44002	CLS002405	Q44002
Q44123	CLS002406	Q44123
Q44315	CLS002407	Q44315
Q44346	CLS002408	Q44346
Q44363	CLS002409	Q44363
Q44492	CLS002410	Q44492
Q44495	CLS002410	Q44492
Q44494	CLS002411	Q44494
Q44576	CLS002412	Q44576
Q44586	CLS002413	Q44586
Q44653	CLS002414	Q9JZ44
Q9JZ44	CLS002414	Q9JZ44
Q44683	CLS002415	Q44683
Q7VQX7	CLS002415	Q44683
Q44951	CLS002416	Q44951
Q45071	CLS002417	Q45071
Q1M964	CLS002418	Q45087
Q45087	CLS002418	Q45087
Q45101	CLS002419	Q45101
P55538	CLS002420	Q45221
Q45221	CLS002420	Q45221
Q45269	CLS002421	Q45269
Q45358	CLS002422	Q45358
Q45409	CLS002423	Q45409
Q45577	CLS002424	Q45577
Q45598	CLS002425	Q45598
Q45708	CLS002426	Q45708
Q45710	CLS002427	Q45710
Q45712	CLS002428	Q45712
Q45715	CLS002429	Q45716
Q45716	CLS002429	Q45716
Q45746	CLS002429	Q45716
Q45748	CLS002429	Q45716
Q45774	CLS002429	Q45716
Q57458	CLS002429	Q45716
Q45747	CLS002430	Q45747
Q45755	CLS002431	Q45755
Q45827	CLS002432	Q45827
Q45914	CLS002433	Q45914
Q45978	CLS002434	Q45978
Q45FX5	CLS002435	Q45FX5
Q45GW3	CLS002436	Q45GW3
Q4R6T7	CLS002436	Q45GW3
Q8CDK3	CLS002436	Q45GW3
Q45R42	CLS002437	Q45R42
Q9HBW1	CLS002437	Q45R42
Q46072	CLS002438	Q46072
Q46087	CLS002439	Q46087
Q460N3	CLS002440	Q460N3
Q30TP7	CLS002441	Q46124
Q46124	CLS002441	Q46124
Q46189	CLS002442	Q46189
Q46205	CLS002443	Q46205
Q46363	CLS002444	Q46363
Q46455	CLS002445	Q46455
Q46497	CLS002446	Q46497
Q46509	CLS002447	Q46509
Q465R3	CLS002448	Q8TL39
Q8TL39	CLS002448	Q8TL39
Q46799	CLS002449	Q46799
Q46802	CLS002450	Q46802
Q46808	CLS002451	Q46808
Q46811	CLS002452	Q46811
Q46814	CLS002453	Q46814
Q468I5	CLS002454	Q8PUB8
Q8PUB8	CLS002454	Q8PUB8
Q469F5	CLS002455	Q469F5
Q2FR18	CLS002456	Q2FR18
Q469Y2	CLS002456	Q2FR18
Q8ZTJ3	CLS002456	Q2FR18
Q46CS0	CLS002457	Q46CS0
Q8PWU0	CLS002457	Q46CS0
Q8TU79	CLS002457	Q46CS0
Q46D71	CLS002458	Q8PX39
Q8PX39	CLS002458	Q8PX39
Q46EK8	CLS002459	Q46EK8
Q8PYF0	CLS002459	Q46EK8
Q8TIZ2	CLS002459	Q46EK8
Q46F18	CLS002460	Q46F18
Q8PYJ4	CLS002460	Q46F18
Q46FL3	CLS002461	Q46FL3
Q46GN4	CLS002462	Q46GN4
Q46HA8	CLS002463	Q46HA8
Q31AF9	CLS002464	Q31AF9
Q46K01	CLS002464	Q31AF9
Q7TUV5	CLS002464	Q31AF9
Q7U892	CLS002464	Q31AF9
Q46LZ6	CLS002465	Q46LZ6
Q1GQ92	CLS002466	Q46S32
Q46S32	CLS002466	Q46S32
Q8RNP4	CLS002466	Q46S32
Q46UT0	CLS002467	Q46UT0
Q1BWS7	CLS002468	Q98BI8
Q1MN39	CLS002468	Q98BI8
Q2SVG8	CLS002468	Q98BI8
Q2YQR7	CLS002468	Q98BI8
Q39H30	CLS002468	Q98BI8
Q3JSY9	CLS002468	Q98BI8
Q3SKX1	CLS002468	Q98BI8
Q46ZP1	CLS002468	Q98BI8
Q57AA0	CLS002468	Q98BI8
Q63TP8	CLS002468	Q98BI8
Q6G0P2	CLS002468	Q98BI8
Q8FXT2	CLS002468	Q98BI8
Q8YEB3	CLS002468	Q98BI8
Q98BI8	CLS002468	Q98BI8
Q46ZT8	CLS002469	Q46ZT8
Q47112	CLS002470	Q47112
Q47162	CLS002471	Q47162
Q472D5	CLS002472	Q472D5
Q47318	CLS002473	Q47318
Q47452	CLS002474	Q47452
Q47502	CLS002475	Q47502
Q47622	CLS002476	Q47622
Q47861	CLS002477	Q47861
Q2A1U9	CLS002478	Q5NIG3
Q47908	CLS002478	Q5NIG3
Q5NIG3	CLS002478	Q5NIG3
Q47952	CLS002479	Q47952
Q479U3	CLS002480	Q479U3
Q1C5S8	CLS002481	Q83QV0
Q1CK03	CLS002481	Q83QV0
Q1R9L3	CLS002481	Q83QV0
Q2W3T1	CLS002481	Q83QV0
Q31Z29	CLS002481	Q83QV0
Q32I06	CLS002481	Q83QV0
Q47A87	CLS002481	Q83QV0
Q487G4	CLS002481	Q83QV0
Q4QNJ6	CLS002481	Q83QV0
Q65Q72	CLS002481	Q83QV0
Q668I0	CLS002481	Q83QV0
Q6LQJ3	CLS002481	Q83QV0
Q6LTV9	CLS002481	Q83QV0
Q7MD44	CLS002481	Q83QV0
Q83QV0	CLS002481	Q83QV0
Q87GW6	CLS002481	Q83QV0
Q8D623	CLS002481	Q83QV0
Q8EIJ1	CLS002481	Q83QV0
Q8VL02	CLS002481	Q83QV0
Q8XE47	CLS002481	Q83QV0
Q8Z570	CLS002481	Q83QV0
Q8ZCF3	CLS002481	Q83QV0
Q9CKL8	CLS002481	Q83QV0
Q2SVE3	CLS002482	Q8XZ24
Q39H50	CLS002482	Q8XZ24
Q47CM9	CLS002482	Q8XZ24
Q63TM7	CLS002482	Q8XZ24
Q8XZ24	CLS002482	Q8XZ24
Q47CW6	CLS002483	Q47CW6
Q47DK0	CLS002484	Q47DK0
Q470D5	CLS002485	Q8XZJ3
Q47F95	CLS002485	Q8XZJ3
Q5NZH8	CLS002485	Q8XZJ3
Q8XZJ3	CLS002485	Q8XZJ3
Q47IK9	CLS002486	Q47IK9
Q60BG5	CLS002486	Q47IK9
Q3APU9	CLS002487	Q3APU9
Q47IT9	CLS002487	Q3APU9
Q47LF7	CLS002488	Q47LF7
Q18CT8	CLS002489	Q18CT8
Q30TH8	CLS002489	Q18CT8
Q311X7	CLS002489	Q18CT8
Q46I26	CLS002489	Q18CT8
Q47LQ0	CLS002489	Q18CT8
Q5N2F8	CLS002489	Q18CT8
Q6A6X1	CLS002489	Q18CT8
Q6APU2	CLS002489	Q18CT8
Q72D86	CLS002489	Q18CT8
Q7UA53	CLS002489	Q18CT8
Q7V9A9	CLS002489	Q18CT8
Q82HM9	CLS002489	Q18CT8
Q8G5P4	CLS002489	Q18CT8
Q9L0H2	CLS002489	Q18CT8
Q47NB5	CLS002490	Q47NB5
Q47PU3	CLS002491	Q47PU3
Q47Q20	CLS002492	Q47Q20
Q47RM9	CLS002493	Q47RM9
Q47RV1	CLS002494	Q47RV1
Q47SC6	CLS002495	Q47SC6
Q47UW8	CLS002496	Q8EB00
Q493N3	CLS002496	Q8EB00
Q7VQH1	CLS002496	Q8EB00
Q8EB00	CLS002496	Q8EB00
Q47VK1	CLS002497	Q47VK1
Q15T23	CLS002498	Q15T23
Q47Z18	CLS002498	Q15T23
Q5ZS74	CLS002498	Q15T23
Q480N3	CLS002499	Q5QU36
Q5QU36	CLS002499	Q5QU36
Q48440	CLS002500	Q48440
Q48458	CLS002501	Q48458
Q48624	CLS002502	Q48624
Q3IEA2	CLS002503	Q74JX6
Q3SHS3	CLS002503	Q74JX6
Q486U0	CLS002503	Q74JX6
Q74JX6	CLS002503	Q74JX6
Q9JVY4	CLS002503	Q74JX6
Q487R3	CLS002504	Q487R3
Q48806	CLS002505	Q48806
Q48AL2	CLS002506	Q48AL2
Q48B61	CLS002507	Q4ZMD6
Q4ZMD6	CLS002507	Q4ZMD6
Q8RK12	CLS002507	Q4ZMD6
Q8RSY1	CLS002507	Q4ZMD6
Q3K428	CLS002508	Q3K428
Q48BF2	CLS002508	Q3K428
Q4K395	CLS002508	Q3K428
Q4ZL11	CLS002508	Q3K428
Q87TS1	CLS002508	Q3K428
Q48GW3	CLS002509	Q88L02
Q4KFC4	CLS002509	Q88L02
Q4ZRA0	CLS002509	Q88L02
Q88L02	CLS002509	Q88L02
Q9HZJ2	CLS002509	Q88L02
Q48IB1	CLS002510	Q881T7
Q4ZTG0	CLS002510	Q881T7
Q881T7	CLS002510	Q881T7
Q48QK0	CLS002511	Q48QK0
Q4KKT0	CLS002511	Q48QK0
Q500U7	CLS002511	Q48QK0
Q1IST4	CLS002512	Q5FJN0
Q1J4L9	CLS002512	Q5FJN0
Q1JEV3	CLS002512	Q5FJN0
Q1QDK7	CLS002512	Q5FJN0
Q1WUG0	CLS002512	Q5FJN0
Q3A6R6	CLS002512	Q5FJN0
Q3JZ37	CLS002512	Q5FJN0
Q3Z9I5	CLS002512	Q5FJN0
Q3ZZD0	CLS002512	Q5FJN0
Q48R89	CLS002512	Q5FJN0
Q5FJN0	CLS002512	Q5FJN0
Q5L0J4	CLS002512	Q5FJN0
Q636K7	CLS002512	Q5FJN0
Q720A3	CLS002512	Q5FJN0
Q74D59	CLS002512	Q5FJN0
Q819Y4	CLS002512	Q5FJN0
Q831W7	CLS002512	Q5FJN0
Q8DRB0	CLS002512	Q5FJN0
Q8E362	CLS002512	Q5FJN0
Q8Y7G2	CLS002512	Q5FJN0
Q92C35	CLS002512	Q5FJN0
Q97SR1	CLS002512	Q5FJN0
Q99XY4	CLS002512	Q5FJN0
Q1JBZ4	CLS002513	Q81L74
Q1JH25	CLS002513	Q81L74
Q2FHT5	CLS002513	Q81L74
Q2YXC9	CLS002513	Q81L74
Q48TS8	CLS002513	Q81L74
Q4L5F1	CLS002513	Q81L74
Q5HGT7	CLS002513	Q81L74
Q5HQ28	CLS002513	Q81L74
Q5XCC0	CLS002513	Q81L74
Q6GHT9	CLS002513	Q81L74
Q817L9	CLS002513	Q81L74
Q81L74	CLS002513	Q81L74
Q8CPL4	CLS002513	Q81L74
Q8CX26	CLS002513	Q81L74
Q8P163	CLS002513	Q81L74
Q9ZEH3	CLS002513	Q81L74
Q3K1I7	CLS002514	Q5M3S7
Q48UC5	CLS002514	Q5M3S7
Q5M3S7	CLS002514	Q5M3S7
Q5XCX3	CLS002514	Q5M3S7
Q836J5	CLS002514	Q5M3S7
Q8DQT6	CLS002514	Q5M3S7
Q8E064	CLS002514	Q5M3S7
Q8E5U1	CLS002514	Q5M3S7
Q97S34	CLS002514	Q5M3S7
Q49006	CLS002515	Q49006
Q6MSF0	CLS002515	Q49006
Q49115	CLS002516	Q49115
Q492E5	CLS002517	Q492E5
Q492J8	CLS002518	Q492J8
Q87N07	CLS002518	Q492J8
Q89AX4	CLS002518	Q492J8
Q492V0	CLS002519	Q492V0
Q49379	CLS002520	Q49379
Q493B4	CLS002521	Q493B4
Q493Z9	CLS002522	Q493Z9
Q49405	CLS002523	Q49405
P75387	CLS002524	Q49409
Q49409	CLS002524	Q49409
Q49413	CLS002525	Q49413
Q49419	CLS002526	Q49419
Q49429	CLS002527	Q49429
Q49467	CLS002528	Q49467
Q494V2	CLS002529	Q494V2
Q49617	CLS002530	Q49617
Q49646	CLS002531	Q49646
Q49729	CLS002532	Q49729
Q8G3N6	CLS002532	Q49729
Q49736	CLS002533	Q49736
Q497N6	CLS002534	Q497N6
Q497V6	CLS002535	Q497V6
Q8TBE0	CLS002535	Q497V6
Q49896	CLS002536	Q49896
Q498E7	CLS002537	Q498E7
Q498K0	CLS002538	Q498K0
Q498M5	CLS002539	Q498M5
Q498R3	CLS002540	Q498R3
Q498S8	CLS002541	Q8CHL0
Q8CHL0	CLS002541	Q8CHL0
Q9VVX3	CLS002541	Q8CHL0
Q499A3	CLS002542	Q499A3
Q499B3	CLS002543	Q499B3
Q9P2N6	CLS002543	Q499B3
Q499E4	CLS002544	Q499E4
Q499M4	CLS002545	Q53EQ6
Q53EQ6	CLS002545	Q53EQ6
Q499Q5	CLS002546	Q5SW45
Q5SW45	CLS002546	Q5SW45
B2RRF6	CLS002547	Q499R0
Q499R0	CLS002547	Q499R0
Q6AHZ1	CLS002547	Q499R0
Q499U2	CLS002548	Q96BJ8
Q96BJ8	CLS002548	Q96BJ8
Q499X9	CLS002549	Q499X9
Q96GW9	CLS002549	Q499X9
Q9C2H9	CLS002549	Q499X9
Q49A26	CLS002550	Q562D5
Q562D5	CLS002550	Q562D5
Q5R7T2	CLS002550	Q562D5
Q49A88	CLS002551	Q49A88
Q49AM3	CLS002552	Q49AM3
Q49GP3	CLS002553	Q49GP3
Q49HH9	CLS002554	Q49HH9
Q717C1	CLS002554	Q49HH9
Q717C2	CLS002554	Q49HH9
Q925D8	CLS002554	Q49HH9
Q49HI0	CLS002555	Q925I4
Q8TE23	CLS002555	Q925I4
Q925I4	CLS002555	Q925I4
Q9Z0R7	CLS002555	Q925I4
Q49MI3	CLS002556	Q49MI3
Q49SH1	CLS002557	Q49SH1
Q49SP5	CLS002558	Q49SP5
Q2FJ15	CLS002559	Q49VG9
Q2G2U8	CLS002559	Q49VG9
Q2YST2	CLS002559	Q49VG9
Q49VG9	CLS002559	Q49VG9
Q5HI45	CLS002559	Q49VG9
Q8CQ50	CLS002559	Q49VG9
Q8NXT2	CLS002559	Q49VG9
Q49WF1	CLS002560	Q49WF1
Q2FHL2	CLS002561	Q2FHL2
Q2FZ58	CLS002561	Q2FHL2
Q2YXJ0	CLS002561	Q2FHL2
Q49X07	CLS002561	Q2FHL2
Q6GHK9	CLS002561	Q2FHL2
Q8CSV4	CLS002561	Q2FHL2
Q49X35	CLS002562	Q8CSU3
Q5HGI2	CLS002562	Q8CSU3
Q8CSU3	CLS002562	Q8CSU3
Q9KA23	CLS002562	Q8CSU3
Q2FGY5	CLS002563	Q6GGV4
Q2FYH5	CLS002563	Q6GGV4
Q2YY51	CLS002563	Q6GGV4
Q49XR1	CLS002563	Q6GGV4
Q5HFW8	CLS002563	Q6GGV4
Q6GGV4	CLS002563	Q6GGV4
Q8CP71	CLS002563	Q6GGV4
Q49XT4	CLS002564	Q49XT4
Q4A0V8	CLS002565	Q4A0V8
Q4A3R3	CLS002566	Q4A3R3
Q4A578	CLS002567	Q4A578
Q4A5J6	CLS002568	Q4A5J6
Q180E4	CLS002569	Q9ZD92
Q1RID6	CLS002569	Q9ZD92
Q2YPX3	CLS002569	Q9ZD92
Q31GE9	CLS002569	Q9ZD92
Q4A696	CLS002569	Q9ZD92
Q4ULN0	CLS002569	Q9ZD92
Q5H432	CLS002569	Q9ZD92
Q600B5	CLS002569	Q9ZD92
Q68WS8	CLS002569	Q9ZD92
Q6KI22	CLS002569	Q9ZD92
Q6MTF4	CLS002569	Q9ZD92
Q8YHC6	CLS002569	Q9ZD92
Q9ZD92	CLS002569	Q9ZD92
Q4A6A2	CLS002570	Q4A6A2
Q4A6B0	CLS002571	Q4A6B0
Q4A7A9	CLS002572	Q4A7A9
Q4A899	CLS002573	Q4AA72
Q4AA72	CLS002573	Q4AA72
Q601T8	CLS002573	Q4AA72
Q4A8S6	CLS002574	Q98RA6
Q601A7	CLS002574	Q98RA6
Q98RA6	CLS002574	Q98RA6
Q4A5S8	CLS002575	Q4A970
Q4A970	CLS002575	Q4A970
Q6KI08	CLS002575	Q4A970
Q4A891	CLS002576	Q4A891
Q4AA64	CLS002576	Q4A891
Q4A8G4	CLS002577	Q4A8G4
Q4AAD3	CLS002577	Q4A8G4
Q4AAT7	CLS002578	Q4AAT7
Q4AC94	CLS002579	Q4AC94
Q4ADV8	CLS002580	Q5JLP4
Q5JLP4	CLS002580	Q5JLP4
Q6Z955	CLS002580	Q5JLP4
Q9LTS3	CLS002580	Q5JLP4
Q174R2	CLS002581	Q9VH48
Q4AE70	CLS002581	Q9VH48
Q5XK84	CLS002581	Q9VH48
Q6DC04	CLS002581	Q9VH48
Q7Q2B7	CLS002581	Q9VH48
Q7XI75	CLS002581	Q9VH48
Q86X55	CLS002581	Q9VH48
Q9VH48	CLS002581	Q9VH48
Q4CTY5	CLS002582	Q4CTY5
Q4D7L5	CLS002582	Q4CTY5
Q4DBW3	CLS002583	Q4DBW3
Q4DLX9	CLS002583	Q4DBW3
Q38BU9	CLS002584	Q4DZ91
Q4DKF7	CLS002584	Q4DZ91
Q4DZ91	CLS002584	Q4DZ91
Q4Q3F0	CLS002584	Q4DZ91
Q4FAT7	CLS002585	Q4FAT7
Q4FM19	CLS002586	Q4FM19
Q89KY5	CLS002586	Q4FM19
Q98LB3	CLS002586	Q4FM19
Q4FNA5	CLS002587	Q4FNA5
Q4FNM9	CLS002588	Q4FNM9
Q1GU73	CLS002589	Q4FPI1
Q4FPI1	CLS002589	Q4FPI1
Q4FPL3	CLS002590	Q4FPL3
Q4FQ66	CLS002591	Q4FQ66
Q4FR09	CLS002592	Q4FR09
Q1QAD0	CLS002593	Q4FRS8
Q4FRS8	CLS002593	Q4FRS8
Q1RDU4	CLS002594	Q31YT6
Q31YT6	CLS002594	Q31YT6
Q3Z3K7	CLS002594	Q31YT6
Q492S9	CLS002594	Q31YT6
Q4FS42	CLS002594	Q31YT6
Q4UV65	CLS002594	Q31YT6
Q5PGH0	CLS002594	Q31YT6
Q6D437	CLS002594	Q31YT6
Q7N6C6	CLS002594	Q31YT6
Q83LP0	CLS002594	Q31YT6
Q87EF0	CLS002594	Q31YT6
Q8D2U8	CLS002594	Q31YT6
Q9KQW9	CLS002594	Q31YT6
Q1CBS9	CLS002595	Q6FCR9
Q1GDP8	CLS002595	Q6FCR9
Q1IGF7	CLS002595	Q6FCR9
Q1R4G6	CLS002595	Q6FCR9
Q21NV7	CLS002595	Q6FCR9
Q2KZT7	CLS002595	Q6FCR9
Q2RTF9	CLS002595	Q6FCR9
Q30UI5	CLS002595	Q6FCR9
Q394V3	CLS002595	Q6FCR9
Q3IJH1	CLS002595	Q6FCR9
Q3IXP4	CLS002595	Q6FCR9
Q3J9N3	CLS002595	Q6FCR9
Q3K559	CLS002595	Q6FCR9
Q3YVJ3	CLS002595	Q6FCR9
Q47JC0	CLS002595	Q6FCR9
Q48PA6	CLS002595	Q6FCR9
Q4FS54	CLS002595	Q6FCR9
Q4QMF8	CLS002595	Q6FCR9
Q4UZT2	CLS002595	Q6FCR9
Q4ZZ83	CLS002595	Q6FCR9
Q57FS2	CLS002595	Q6FCR9
Q5E1P2	CLS002595	Q6FCR9
Q5FN26	CLS002595	Q6FCR9
Q5GUY8	CLS002595	Q6FCR9
Q5HXE4	CLS002595	Q6FCR9
Q5L9I8	CLS002595	Q6FCR9
Q5LN98	CLS002595	Q6FCR9
Q5P6F1	CLS002595	Q6FCR9
Q65QD4	CLS002595	Q6FCR9
Q66G45	CLS002595	Q6FCR9
Q6FCR9	CLS002595	Q6FCR9
Q6G543	CLS002595	Q6FCR9
Q6LLH7	CLS002595	Q6FCR9
Q6NHN6	CLS002595	Q6FCR9
Q7MAN4	CLS002595	Q6FCR9
Q7NYJ7	CLS002595	Q6FCR9
Q7VRL8	CLS002595	Q6FCR9
Q7W069	CLS002595	Q6FCR9
Q7WC98	CLS002595	Q6FCR9
Q7WQA2	CLS002595	Q6FCR9
Q82E99	CLS002595	Q6FCR9
Q83PI6	CLS002595	Q6FCR9
Q87F63	CLS002595	Q6FCR9
Q87KB6	CLS002595	Q6FCR9
Q88CQ2	CLS002595	Q6FCR9
Q8E9D9	CLS002595	Q6FCR9
Q8PQI0	CLS002595	Q6FCR9
Q8UE43	CLS002595	Q6FCR9
Q8XAV1	CLS002595	Q6FCR9
Q8ZAB3	CLS002595	Q6FCR9
Q98BZ8	CLS002595	Q6FCR9
Q9PH47	CLS002595	Q6FCR9
Q9PJ98	CLS002595	Q6FCR9
Q9RQ48	CLS002595	Q6FCR9
Q181T7	CLS002596	Q1GZ82
Q1GZ82	CLS002596	Q1GZ82
Q1MPK8	CLS002596	Q1GZ82
Q1XDA8	CLS002596	Q1GZ82
Q21NH1	CLS002596	Q1GZ82
Q31E77	CLS002596	Q1GZ82
Q31V09	CLS002596	Q1GZ82
Q329P2	CLS002596	Q1GZ82
Q3IIE4	CLS002596	Q1GZ82
Q3JF23	CLS002596	Q1GZ82
Q3KJH9	CLS002596	Q1GZ82
Q3SGA3	CLS002596	Q1GZ82
Q48C87	CLS002596	Q1GZ82
Q4FTU8	CLS002596	Q1GZ82
Q5PBZ2	CLS002596	Q1GZ82
Q5ZY71	CLS002596	Q1GZ82
Q67SW0	CLS002596	Q1GZ82
Q6LVL2	CLS002596	Q1GZ82
Q7MGZ2	CLS002596	Q1GZ82
Q83BH2	CLS002596	Q1GZ82
Q88CX4	CLS002596	Q1GZ82
Q898R1	CLS002596	Q1GZ82
Q8XDE9	CLS002596	Q1GZ82
Q8ZL56	CLS002596	Q1GZ82
Q97L53	CLS002596	Q1GZ82
Q9HU53	CLS002596	Q1GZ82
Q4FUP5	CLS002597	Q4FUP5
Q4FUU5	CLS002598	Q4FUU5
Q1BHI7	CLS002599	Q1BHI7
Q1QDW8	CLS002599	Q1BHI7
Q2SX03	CLS002599	Q1BHI7
Q3JR23	CLS002599	Q1BHI7
Q4FUW9	CLS002599	Q1BHI7
Q1GEY0	CLS002600	Q7MT71
Q1IX15	CLS002600	Q7MT71
Q2GKB1	CLS002600	Q7MT71
Q2K206	CLS002600	Q7MT71
Q2SUP3	CLS002600	Q7MT71
Q2Y6P4	CLS002600	Q7MT71
Q31JC9	CLS002600	Q7MT71
Q31U03	CLS002600	Q7MT71
Q39HY9	CLS002600	Q7MT71
Q3A7P7	CLS002600	Q7MT71
Q3BPK7	CLS002600	Q7MT71
Q3KJ20	CLS002600	Q7MT71
Q3SFG3	CLS002600	Q7MT71
Q48A96	CLS002600	Q7MT71
Q4FVJ8	CLS002600	Q7MT71
Q4KJA1	CLS002600	Q7MT71
Q4UYF2	CLS002600	Q7MT71
Q5E8W9	CLS002600	Q7MT71
Q5FNT7	CLS002600	Q7MT71
Q5H4C0	CLS002600	Q7MT71
Q5HBN2	CLS002600	Q7MT71
Q5PB42	CLS002600	Q7MT71
Q62FE9	CLS002600	Q7MT71
Q631C7	CLS002600	Q7MT71
Q63VF5	CLS002600	Q7MT71
Q64T99	CLS002600	Q7MT71
Q6G477	CLS002600	Q7MT71
Q6HB59	CLS002600	Q7MT71
Q7MT71	CLS002600	Q7MT71
Q7W0D7	CLS002600	Q7MT71
Q815D5	CLS002600	Q7MT71
Q81WY7	CLS002600	Q7MT71
Q83PB8	CLS002600	Q7MT71
Q87CY6	CLS002600	Q7MT71
Q87KF0	CLS002600	Q7MT71
Q8D247	CLS002600	Q7MT71
Q8DDL4	CLS002600	Q7MT71
Q8FB77	CLS002600	Q7MT71
Q8P5L9	CLS002600	Q7MT71
Q8PH13	CLS002600	Q7MT71
Q8UCC9	CLS002600	Q7MT71
Q8Z326	CLS002600	Q7MT71
Q92TI9	CLS002600	Q7MT71
